0,1,2
268.935455,14.330777,87.841301
86.515717,193.364532,424.018616
75.704872,393.305695,412.787201
167.025269,430.190094,428.068878
151.066391,390.383148,217.428177
340.462433,503.81839,112.350105
448.593658,71.637093,346.480408
190.452286,184.560699,198.954376
434.805725,66.942162,88.403305
185.683624,66.516335,167.080643
306.068573,377.996765,404.653564
106.739594,360.514648,123.931808
185.304062,41.711845,15.499299
8.231016,127.953606,307.951233
437.326294,150.544556,346.952759
41.398136,377.288666,116.772507
232.750961,229.099945,290.95459
208.351944,60.503822,345.842407
259.53952,328.208191,228.621735
463.341125,6.151043,383.058746
22.09837,173.464066,155.33757
173.468033,435.492706,447.409271
360.90921,161.516388,32.00515
454.102417,265.785767,471.039276
151.407242,83.738106,387.759796
482.149536,376.556793,72.41835
199.883041,228.325699,419.263031
228.094177,316.513672,197.381149
354.263336,364.804108,343.185303
169.007751,154.034164,179.902283
221.930481,0.586252,205.406265
341.960663,84.96106,395.872314
239.6548,321.252411,109.672783
116.506943,228.129227,36.288738
318.500214,153.570572,185.795105
17.207743,71.29261,467.17865
402.441986,383.133942,306.95816
21.163425,293.997711,263.757965
194.554718,6.04963,284.5383
429.981018,316.771973,276.101044
46.030037,419.975281,18.638044
12.329165,214.843796,46.933254
46.770538,438.96814,166.927048
202.683548,468.699066,209.634506
232.970642,40.062614,35.920265
435.32663,122.724579,334.17514
195.12796,194.51712,9.604853
207.313904,25.355392,502.235535
246.353027,74.778305,410.356201
48.456894,12.398285,376.886963
260.967285,63.707077,364.150238
487.812531,224.686264,251.042419
499.554108,339.730896,164.56041
124.943512,129.024902,245.400314
21.904148,146.188538,15.731358
249.081024,107.736603,99.570251
475.01944,509.695923,478.726776
285.197845,56.102829,63.004364
17.993389,8.938138,190.945663
136.805435,59.228302,458.229889
289.964233,365.894623,410.121338
48.513184,48.47184,465.116394
486.829956,273.593506,267.085327
359.757111,474.678131,0.060162
485.95932,218.526611,484.702911
414.381989,426.734192,282.344208
478.532776,277.785187,280.55957
120.259239,366.373444,5.384992
68.808853,379.860016,296.817261
132.397583,377.082794,264.901672
363.107025,129.66951,306.726105
159.013641,181.951111,62.466816
205.27298,116.630356,139.392609
423.912964,201.531677,275.941193
469.255127,19.605473,439.091736
224.52536,342.12677,339.100464
184.721161,194.635147,411.942871
350.233398,470.798187,147.228546
201.878387,498.554504,261.607758
437.45874,77.379959,356.163483
465.914734,37.349937,345.306641
180.323425,405.232635,220.217545
63.346359,19.085266,300.46344
76.329529,146.227081,208.60791
3.417852,128.28038,69.385986
449.312469,178.716629,389.344635
355.977844,284.161499,353.472748
437.995667,215.488235,120.466095
116.498863,200.586243,84.236099
20.630457,143.719971,255.543472
188.470245,129.676926,194.112839
49.621365,103.329788,367.873016
137.207214,40.892883,250.775879
427.455597,288.706665,352.465729
157.253342,261.911804,208.237793
99.787613,293.131744,109.658241
375.804749,296.267883,241.837067
440.543335,277.275635,456.034241
196.515869,364.441925,404.335205
479.104492,131.36824,495.041718
500.709015,15.8793,180.280197
93.36657,120.852119,355.200531
323.698761,68.624504,468.683289
24.205343,275.568909,339.394806
228.520874,36.683685,500.200775
55.187546,210.389847,61.392174
61.068802,53.856899,51.061222
310.760132,207.07103,195.748383
312.301636,27.659704,313.174316
19.988289,460.966248,266.994659
19.629782,344.845886,342.760986
12.502149,463.126495,492.247742
88.448509,493.323822,187.816803
481.228516,156.159821,277.103699
495.31723,130.299255,450.288788
151.965164,467.791565,65.111504
489.227936,230.638733,285.884979
287.423859,164.402374,143.411728
310.897644,389.224609,131.326584
89.306198,194.673447,40.145199
22.554718,361.395416,66.05233
303.631561,447.58493,369.30722
315.707306,61.447407,16.507954
71.767021,150.811676,314.869843
181.932495,425.810913,162.632874
168.281937,436.176392,410.080627
248.74736,387.352173,17.941303
368.381744,102.215851,305.311951
132.218704,326.961304,13.261137
96.489159,430.092712,456.494263
416.941528,85.276665,56.195488
2.449276,163.562088,483.936157
269.750793,112.00209,482.442444
506.148346,159.716125,121.447723
501.830688,63.100983,141.471512
260.486176,447.765198,490.898499
478.026794,464.305389,379.054443
312.182465,416.855682,137.896729
251.863953,80.073494,501.33551
291.443176,427.47522,389.834991
411.831604,13.773179,362.108734
392.464539,296.085571,330.444153
193.413467,116.680428,451.43692
349.762909,328.708649,225.886047
134.083954,334.923615,138.296616
65.549866,79.791389,238.066055
396.931396,466.79892,81.024384
459.7883,213.411957,317.369751
376.971313,310.383118,199.093384
155.971848,333.098694,86.324089
374.665741,199.431656,206.275391
8.233253,237.20137,296.804321
417.606934,423.548859,38.121861
103.503647,389.407501,270.50824
273.565155,187.884262,26.431004
205.417068,298.993317,169.519669
355.440125,139.333633,115.791107
186.773712,407.026794,205.280289
337.587158,463.877167,377.288116
448.300964,154.709229,11.337954
252.979752,80.170715,200.636154
157.940201,358.282715,77.080864
295.535095,484.669922,353.607178
467.097717,128.585068,309.506927
222.071548,412.471954,265.756714
196.975662,204.440948,157.412567
171.286819,38.769176,120.334091
136.326859,5.931828,112.393082
35.282211,378.997833,445.531799
408.903748,467.011902,132.520905
24.947933,243.505341,354.996246
93.914879,274.64856,291.981812
247.37674,5.505251,36.781693
137.961319,186.021042,46.161049
186.177231,275.195251,506.950775
141.037247,397.358215,10.902959
477.133606,248.395126,185.670807
76.807755,127.264709,402.854706
239.153076,74.970482,26.109646
453.844055,475.718292,72.029053
275.440552,92.402115,422.899933
71.381111,426.073669,199.770935
479.053131,257.215637,171.214737
452.695923,143.337509,119.004868
0.92214,194.62355,65.555908
183.022705,292.348846,69.640327
145.767578,288.464661,402.977783
73.024376,490.272278,407.693024
123.632484,267.62973,179.294647
128.117676,34.769035,302.026489
474.406189,143.092133,442.637726
452.828705,159.819855,285.003784
428.154083,471.43454,14.997529
187.724716,127.375053,75.118912
204.944183,224.914932,39.501972
451.102936,226.90065,13.541355
219.495697,99.160942,92.82621
227.815857,233.414871,138.782776
163.080948,236.621185,262.79425
430.911072,311.253113,173.691696
36.38731,403.366608,60.864475
185.88913,107.510635,220.202301
324.699829,26.80978,458.802521
378.857422,173.921814,444.399689
83.481422,159.730545,509.103394
157.190186,210.794479,226.378265
130.618408,47.894676,255.914154
103.226349,397.19809,331.789001
68.156364,400.074615,375.325226
472.763275,372.58429,134.48024
122.074455,121.653603,373.030182
430.584015,160.562317,38.901249
61.773598,282.914948,357.192017
106.288567,281.24115,249.594635
64.810104,432.052551,391.270447
480.786438,175.316757,480.426819
55.67746,16.49814,234.546494
58.327473,428.700226,242.045273
167.380676,491.837402,11.244882
434.792053,73.201797,186.524139
0.616688,379.605682,22.427748
285.237213,247.82782,292.530731
91.954079,485.911835,199.891296
171.235291,218.254227,112.089981
358.848938,330.141693,413.662598
358.418945,368.893677,364.083405
261.710999,175.652756,60.213192
502.923859,163.963699,119.869026
426.613708,41.367451,431.126038
116.334473,507.161469,342.91861
286.767853,104.208763,33.971794
399.969482,372.669556,329.650116
337.296661,180.290482,468.627625
314.538086,364.244843,230.111633
